Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2025-08-20,1928.4000244140625,1952.0,1926.0,1937.0,6962619
2025-08-21,1929.9000244140625,1940.9000244140625,1927.699951171875,1930.0,3376913
2025-08-22,1933.300048828125,1947.699951171875,1917.4000244140625,1934.0,3271920
2025-08-25,1930.699951171875,1940.0999755859375,1913.199951171875,1940.0,2451388
2025-08-26,1904.699951171875,1925.800048828125,1896.199951171875,1922.0999755859375,5984656
2025-08-28,1881.0999755859375,1899.800048828125,1878.199951171875,1893.0,5494113
2025-08-29,1888.800048828125,1900.0999755859375,1872.5,1872.5,4339042
2025-09-01,1900.5999755859375,1904.800048828125,1884.199951171875,1889.0,3421488
2025-09-02,1887.199951171875,1917.5,1878.0,1904.5,4423049
2025-09-03,1883.9000244140625,1892.0999755859375,1870.0,1891.0,3803044
2025-09-04,1880.4000244140625,1903.5,1876.5999755859375,1899.0,5205333
2025-09-05,1895.300048828125,1910.699951171875,1875.699951171875,1887.0,2620140
2025-09-08,1887.699951171875,1899.0,1884.0999755859375,1898.0,2547552
2025-09-09,1893.699951171875,1904.0,1883.0,1892.0,4517793
2025-09-10,1891.4000244140625,1905.0,1883.0,1904.0,3566139
2025-09-11,1913.0,1916.0,1882.0999755859375,1884.0,4718266
2025-09-12,1902.5999755859375,1925.0,1901.5999755859375,1925.0,3192824
2025-09-15,1904.5,1913.0,1898.4000244140625,1904.0,3553258
2025-09-16,1939.5,1942.0,1902.5,1903.300048828125,5427586
2025-09-17,1941.300048828125,1950.0999755859375,1932.5999755859375,1938.0999755859375,4234637
2025-09-18,1941.0999755859375,1949.800048828125,1920.5,1944.5,5080814
2025-09-19,1962.4000244140625,1976.800048828125,1927.800048828125,1930.199951171875,11287603
2025-09-22,1956.199951171875,1966.0,1944.0,1954.0,4469137
2025-09-23,1938.699951171875,1955.0,1930.0999755859375,1950.0,4348633
2025-09-24,1931.0999755859375,1937.300048828125,1918.800048828125,1926.0,5237977
2025-09-25,1935.5999755859375,1950.0,1928.800048828125,1930.0,7133365
2025-09-26,1916.5999755859375,1944.699951171875,1911.9000244140625,1931.0999755859375,3239306
2025-09-29,1902.199951171875,1928.0,1897.5,1928.0,5072608
2025-09-30,1878.4000244140625,1907.5999755859375,1875.199951171875,1896.0,5945625
2025-10-01,1867.5999755859375,1877.0,1855.9000244140625,1868.0,5675393
2025-10-03,1896.699951171875,1900.300048828125,1848.0999755859375,1851.199951171875,5828332
2025-10-06,1903.0999755859375,1907.0,1887.5,1892.5999755859375,2809218
2025-10-07,1929.0,1946.0,1900.0,1900.0,5713060
2025-10-08,1943.5,1962.5999755859375,1927.5999755859375,1929.0,4957406
2025-10-09,1942.0,1948.800048828125,1931.300048828125,1945.0,3945737
2025-10-10,1939.9000244140625,1947.5999755859375,1935.4000244140625,1937.0,2512581
2025-10-13,1954.9000244140625,1965.9000244140625,1936.0,1937.9000244140625,3672419
2025-10-14,1946.5999755859375,1964.0,1939.199951171875,1964.0,4454239
2025-10-15,1968.5,1976.0,1951.5999755859375,1957.199951171875,3447352
2025-10-16,1967.4000244140625,1986.9000244140625,1962.0,1962.300048828125,3700674
2025-10-17,2012.0,2034.300048828125,1970.300048828125,1973.5999755859375,6743801
2025-10-20,2051.5,2057.0,2019.699951171875,2026.0,7387180
2025-10-21,2043.5,2058.5,2038.5,2051.800048828125,240850
2025-10-23,2007.9000244140625,2067.0,2003.5999755859375,2063.89990234375,8790128
2025-10-24,2029.300048828125,2033.0,2006.9000244140625,2008.0,3236799
2025-10-27,2080.10009765625,2094.0,2030.0,2030.0,5796831
2025-10-28,2090.199951171875,2102.60009765625,2071.699951171875,2092.0,9891522
2025-10-29,2100.60009765625,2110.39990234375,2081.60009765625,2083.0,2742750
2025-10-30,2066.300048828125,2088.0,2058.60009765625,2070.0,4222189
2025-10-31,2054.5,2073.800048828125,2051.699951171875,2056.0,4659723
2025-11-03,2074.0,2081.0,2047.199951171875,2055.0,2979629
2025-11-04,2113.300048828125,2135.60009765625,2103.5,2107.0,12263078
2025-11-05,2113.300048828125,2113.300048828125,2113.300048828125,2113.300048828125,0
2025-11-06,2094.89990234375,2123.300048828125,2080.5,2115.0,9546299
2025-11-07,2001.199951171875,2048.0,1995.5999755859375,2048.0,70392750
2025-11-10,2019.800048828125,2028.800048828125,1992.199951171875,1995.0,7457061
2025-11-11,2042.300048828125,2056.89990234375,2017.4000244140625,2020.0999755859375,14825625
2025-11-12,2073.800048828125,2079.800048828125,2054.89990234375,2060.0,8210277
2025-11-13,2091.800048828125,2107.0,2079.0,2099.89990234375,5958875
2025-11-14,2100.699951171875,2107.89990234375,2081.89990234375,2090.0,6312655
