Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2025-08-20,406.04998779296875,410.25,405.45001220703125,409.1000061035156,18188129
2025-08-21,405.54998779296875,406.8500061035156,403.3500061035156,406.04998779296875,15028966
2025-08-22,398.29998779296875,406.5,397.5,406.0,13087624
2025-08-25,399.3500061035156,400.54998779296875,396.25,399.0,10440286
2025-08-26,403.3500061035156,405.3999938964844,398.3999938964844,399.29998779296875,13715752
2025-08-28,400.8999938964844,404.5,400.0,404.5,12471719
2025-08-29,409.75,410.45001220703125,401.8999938964844,402.0,25255050
2025-09-01,405.8500061035156,410.20001220703125,405.0,409.75,12268090
2025-09-02,406.75,407.8500061035156,404.45001220703125,406.54998779296875,19808255
2025-09-03,411.75,413.25,407.29998779296875,408.5,12936588
2025-09-04,415.8999938964844,427.0,415.0,423.95001220703125,27274123
2025-09-05,407.3500061035156,417.0,404.3999938964844,416.8999938964844,16000675
2025-09-08,407.54998779296875,410.54998779296875,406.79998779296875,407.45001220703125,7419022
2025-09-09,410.04998779296875,410.95001220703125,407.3999938964844,408.5,8825896
2025-09-10,413.04998779296875,413.70001220703125,408.95001220703125,411.0,9252397
2025-09-11,415.04998779296875,416.70001220703125,412.45001220703125,413.04998779296875,8274406
2025-09-12,413.75,417.04998779296875,412.8500061035156,415.3500061035156,7803379
2025-09-15,412.6499938964844,414.29998779296875,411.75,413.04998779296875,5707331
2025-09-16,413.1000061035156,414.3500061035156,412.0,413.20001220703125,8239087
2025-09-17,409.29998779296875,414.6000061035156,408.04998779296875,413.95001220703125,14113882
2025-09-18,411.54998779296875,413.04998779296875,410.1000061035156,411.3500061035156,15647808
2025-09-19,410.6499938964844,412.6000061035156,408.95001220703125,411.54998779296875,19505321
2025-09-22,406.95001220703125,411.0,406.04998779296875,410.6499938964844,8930779
2025-09-23,403.20001220703125,408.1000061035156,402.1000061035156,407.1000061035156,14936357
2025-09-24,401.0,404.6499938964844,400.70001220703125,403.20001220703125,12380865
2025-09-25,400.1000061035156,403.0,398.0,401.45001220703125,22006368
2025-09-26,405.1000061035156,405.8999938964844,399.79998779296875,400.1000061035156,14414044
2025-09-29,407.25,408.0,403.20001220703125,406.8999938964844,19717660
2025-09-30,401.54998779296875,406.75,400.3999938964844,406.75,9465490
2025-10-01,405.6000061035156,406.0,399.75,402.3500061035156,17643039
2025-10-03,404.29998779296875,405.5,402.29998779296875,404.8999938964844,16987141
2025-10-06,400.75,403.8999938964844,399.79998779296875,403.0,13989077
2025-10-07,399.79998779296875,402.6000061035156,399.5,402.5,12298968
2025-10-08,399.75,401.75,398.0,400.0,8402463
2025-10-09,399.8999938964844,401.3999938964844,398.95001220703125,399.0,15656267
2025-10-10,402.79998779296875,403.8500061035156,399.5,400.45001220703125,15085738
2025-10-13,399.25,400.95001220703125,398.54998779296875,400.0,9508594
2025-10-14,396.79998779296875,400.8500061035156,396.20001220703125,400.0,10291102
2025-10-15,399.8999938964844,400.8500061035156,397.25,398.0,16043867
2025-10-16,405.1499938964844,406.0,399.54998779296875,401.0,22962049
2025-10-17,412.1499938964844,413.8500061035156,405.25,405.3500061035156,21071344
2025-10-20,413.04998779296875,414.8500061035156,411.29998779296875,412.54998779296875,13083621
2025-10-21,412.8500061035156,413.95001220703125,412.3500061035156,413.5,1142130
2025-10-23,415.95001220703125,420.45001220703125,413.54998779296875,416.0,24305990
2025-10-24,416.79998779296875,417.95001220703125,413.45001220703125,415.95001220703125,14935678
2025-10-27,420.6499938964844,422.70001220703125,416.6000061035156,417.0,11603679
2025-10-28,417.8999938964844,421.6499938964844,415.8999938964844,420.5,17163147
2025-10-29,421.6000061035156,422.20001220703125,416.04998779296875,418.20001220703125,11470661
2025-10-30,418.75,421.70001220703125,416.1499938964844,421.6000061035156,12938674
2025-10-31,420.3500061035156,426.3999938964844,418.20001220703125,420.5,18599864
2025-11-03,413.95001220703125,421.6499938964844,413.29998779296875,419.95001220703125,7635440
2025-11-04,408.8999938964844,414.5,408.3500061035156,414.0,10085404
2025-11-05,408.8999938964844,408.8999938964844,408.8999938964844,408.8999938964844,0
2025-11-06,407.5,413.29998779296875,406.54998779296875,410.0,10095563
2025-11-07,404.04998779296875,409.1000061035156,403.1000061035156,406.04998779296875,8411611
2025-11-10,405.54998779296875,407.1000061035156,403.6499938964844,404.04998779296875,6650003
2025-11-11,406.8500061035156,408.04998779296875,404.6000061035156,406.0,12005318
2025-11-12,407.0,408.1000061035156,405.54998779296875,408.0,7987236
2025-11-13,405.70001220703125,407.5,404.5,407.0,6617185
2025-11-14,408.1499938964844,408.75,400.1000061035156,404.70001220703125,64020258
