Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2025-08-20,3592.300048828125,3619.89990234375,3580.0,3613.5,1325096
2025-08-21,3612.60009765625,3648.0,3588.0,3599.0,1624009
2025-08-22,3595.800048828125,3634.5,3582.0,3610.0,1060447
2025-08-25,3603.10009765625,3617.89990234375,3584.300048828125,3616.0,980393
2025-08-26,3541.300048828125,3600.0,3531.0,3599.0,1787363
2025-08-28,3560.10009765625,3576.89990234375,3537.199951171875,3540.0,1695226
2025-08-29,3601.0,3615.0,3540.199951171875,3575.60009765625,1678055
2025-09-01,3598.39990234375,3628.60009765625,3581.89990234375,3601.0,1094155
2025-09-02,3574.89990234375,3619.89990234375,3560.0,3598.39990234375,1230950
2025-09-03,3600.800048828125,3606.300048828125,3560.0,3594.0,1314831
2025-09-04,3592.60009765625,3624.89990234375,3572.5,3622.89990234375,1434998
2025-09-05,3553.60009765625,3609.10009765625,3549.10009765625,3592.800048828125,830812
2025-09-08,3529.60009765625,3579.89990234375,3525.0,3570.0,1039999
2025-09-09,3525.0,3550.0,3516.39990234375,3547.199951171875,1522116
2025-09-10,3550.0,3577.39990234375,3541.10009765625,3559.0,1136732
2025-09-11,3539.699951171875,3564.699951171875,3533.0,3548.0,1177793
2025-09-12,3579.800048828125,3595.39990234375,3548.10009765625,3556.39990234375,1146873
2025-09-15,3586.199951171875,3607.0,3575.5,3581.0,1177076
2025-09-16,3667.800048828125,3674.0,3593.10009765625,3603.89990234375,2928060
2025-09-17,3685.5,3704.0,3662.699951171875,3672.0,1610471
2025-09-18,3686.0,3700.0,3672.5,3691.0,1270148
2025-09-19,3675.39990234375,3705.0,3671.0,3679.0,2227521
2025-09-22,3644.5,3693.60009765625,3633.89990234375,3693.60009765625,839430
2025-09-23,3657.60009765625,3673.5,3613.199951171875,3646.89990234375,1262120
2025-09-24,3673.800048828125,3709.199951171875,3637.10009765625,3657.60009765625,1745130
2025-09-25,3644.39990234375,3704.0,3635.699951171875,3684.0,1999071
2025-09-26,3729.5,3794.89990234375,3661.0,3664.0,5870301
2025-09-29,3688.39990234375,3740.0,3679.60009765625,3738.0,2599630
2025-09-30,3659.0,3696.60009765625,3648.0,3695.0,1676302
2025-10-01,3670.300048828125,3688.0,3615.0,3658.89990234375,2005028
2025-10-03,3733.10009765625,3746.0,3666.300048828125,3690.0,1959124
2025-10-06,3737.0,3767.0,3703.0,3720.0,1581506
2025-10-07,3729.699951171875,3766.0,3725.0,3748.0,1673945
2025-10-08,3729.800048828125,3760.0,3715.0,3730.0,1424633
2025-10-09,3769.199951171875,3796.39990234375,3730.10009765625,3735.5,1827249
2025-10-10,3784.0,3799.0,3760.0,3765.0,1129678
2025-10-13,3769.5,3784.0,3745.0,3780.0,1191248
2025-10-14,3744.300048828125,3786.800048828125,3730.199951171875,3775.0,1364583
2025-10-15,3828.699951171875,3843.89990234375,3744.300048828125,3747.0,2575918
2025-10-16,3861.800048828125,3885.89990234375,3830.0,3830.300048828125,2330283
2025-10-17,3839.39990234375,3869.5,3830.10009765625,3860.0,1337364
2025-10-20,3872.699951171875,3887.60009765625,3845.39990234375,3862.0,1223232
2025-10-21,3888.199951171875,3895.0,3877.199951171875,3892.0,260327
2025-10-23,3918.699951171875,3966.199951171875,3890.0,3890.0,2815778
2025-10-24,3904.89990234375,3939.89990234375,3897.5,3929.300048828125,1146636
2025-10-27,3923.800048828125,3948.0,3907.0,3912.0,1057688
2025-10-28,3972.800048828125,3986.0,3917.300048828125,3922.10009765625,3391806
2025-10-29,3958.10009765625,4016.699951171875,3920.0,3988.0,2563641
2025-10-30,3987.5,4062.60009765625,3975.60009765625,3980.0,4959400
2025-10-31,4030.89990234375,4045.89990234375,3980.199951171875,4001.10009765625,2328183
2025-11-03,3980.5,4041.0,3974.89990234375,4030.0,1154072
2025-11-04,3924.39990234375,3990.0,3916.800048828125,3985.0,2042881
2025-11-05,3924.39990234375,3924.39990234375,3924.39990234375,3924.39990234375,0
2025-11-06,3881.60009765625,3978.0,3872.10009765625,3945.0,1749063
2025-11-07,3882.5,3892.89990234375,3831.10009765625,3877.10009765625,1577294
2025-11-10,3918.5,3943.800048828125,3894.0,3895.0,1397176
2025-11-11,3955.0,3966.800048828125,3897.0,3929.0,1775462
2025-11-12,3954.60009765625,3973.800048828125,3936.89990234375,3970.0,981350
2025-11-13,4002.5,4022.89990234375,3925.60009765625,3954.60009765625,1834962
2025-11-14,4004.39990234375,4011.5,3971.60009765625,4002.0,1916910
